ID,Name,Host Id,Host Id Verified,Host Name,Neighbourhood Group,Neighbourhood,Latitude,Longitude,Country,Instant Bookable,Cancellation Policy,Room Type,Number of Reviews,Reviews(per month),Average Ratings,Price in Dollars,Service Fee in Dollars,Minimum Nights,Availability 365,Construction Year,Property Age,Estimated Annual Revenue in Dollars,Occupancy Rate
1831995,Newly Renovated 1 Br,91272605391,TRUE,Stephen,Manhattan,Lower East Side,40.71950,-73.99416,United States,FALSE,Strict,Private room,32,0.39,2,"1,125",225,5,190,2006,Old Property,5265,52.05%
1832548,"Large Private Bedroom In House, Bushwick/Ridgewood",17961492389,TRUE,Alice,Queens,Ridgewood,40.70866,-73.91537,United States,FALSE,Flexible,Private room,1,0.05,1,607,121,2,340,2009,Old Property,364.2,93.15%
1833100,Trendy Harlem Apartment In New York,54022890208,TRUE,Laila,Manhattan,Harlem,40.80829,-73.94260,United States,FALSE,Moderate,Entire home/apt,12,0.15,1,558,112,21,222,2003,Old Property,1004.4,60.82%
1833652,Artist Room For Creative Nomads,59013102821,FALSE,Kalae,Manhattan,Upper West Side,40.80114,-73.96378,United States,FALSE,Strict,Private room,211,2.54,4,628,126,2,178,2018,Mid Age,19141.44,48.77%
1834204,Near The City That Never Sleeps!,81624942367,TRUE,Maria,Staten Island,Mariners Harbor,40.62879,-74.16062,United States,FALSE,Strict,Private room,48,0.59,1,130,26,2,164,2009,Old Property,920.4,44.93%
1834757,"Warm, Comfortable, Inviting Home",46095871555,TRUE,Yolanda,Brooklyn,Flatlands,40.61676,-73.92552,United States,FALSE,Moderate,Entire home/apt,219,2.63,5,298,60,2,142,2008,Old Property,9404.88,38.90%
1835309,Central Park Chic Single Room,22726125411,TRUE,Roxanne,Manhattan,East Harlem,40.79417,-73.95101,United States,TRUE,Moderate,Private room,218,2.63,2,"1,120",224,3,364,2004,Old Property,35347.2,99.73%
1835861,Midtown West- A Cozy One Bedroom.,53828788235,FALSE,Danny,Manhattan,Chelsea,40.75286,-74.00162,United States,FALSE,Strict,Entire home/apt,40,0.5,1,281,56,6,62,2004,Old Property,1686,16.99%
1836414,Beautiful West Village 1 Br Apartment,87472127258,FALSE,Jeff,Manhattan,West Village,40.73477,-74.00275,United States,FALSE,Moderate,Entire home/apt,37,0.46,3,600,120,14,0,2007,Old Property,3312,0.00%
1836966,Low Cost Room With Great Location,71483149379,TRUE,John,Queens,Long Island City,40.74530,-73.95294,United States,FALSE,Strict,Private room,28,0.34,2,"1,119",224,20,136,2018,Mid Age,4565.52,37.26%
1837518,Spacious Private Room In Beautiful 1Br Near Park,94529458545,TRUE,Mie,Manhattan,Harlem,40.80314,-73.95768,United States,FALSE,Strict,Private room,66,0.8,4,771,154,3,365,2011,Mid Age,7401.6,100.00%
1838071,Gorgeous Ny Studio In Midtown East,95422802966,TRUE,George Steven,Manhattan,Murray Hill,40.74888,-73.97828,United States,FALSE,Strict,Entire home/apt,43,0.67,3,699,140,30,128,2010,Old Property,5619.96,35.07%
1838623,Terrific Ny Studio In Midtown East,82519185530,TRUE,George Steven,Manhattan,Murray Hill,40.74851,-73.97796,United States,FALSE,Moderate,Entire home/apt,9,0.11,3,254,51,30,118,2011,Mid Age,335.28,32.33%
1839175,Cozy Private Bedroom $800 Month,62089478705,FALSE,Maria Daniela,Brooklyn,East New York,40.67635,-73.89124,United States,TRUE,Flexible,Private room,13,0.16,5,443,89,3,365,2006,Old Property,850.56,100.00%
1839727,Duplex With Backyard Upper Eastside,92994874680,FALSE,Daniel,Manhattan,Upper East Side,40.78002,-73.95211,United States,FALSE,Strict,Private room,60,0.93,1,547,109,1,121,2004,Old Property,6104.52,33.15%
1840280,Huge Sunny Modern Apt. (1K+Sqft),64799543298,FALSE,Andrew,Brooklyn,Clinton Hill,40.69445,-73.96401,United States,TRUE,Strict,Entire home/apt,19,0.23,2,343,69,4,208,2013,Mid Age,946.68,56.99%
1840832,Cozy 15 Mins Manhattan& 10 Mins Lga,3906404030,FALSE,Biren,Queens,East Elmhurst,40.75772,-73.89530,United States,TRUE,Strict,Private room,296,3.92,4,"1,127",225,1,282,2003,Old Property,53014.08,77.26%
1841384,Large Room / Light / Columbia University - Uws,78343614642,FALSE,Katherine,Manhattan,Upper West Side,40.80373,-73.96790,United States,FALSE,Flexible,Private room,96,1.16,2,103,21,1,62,2003,Old Property,1433.76,16.99%
1841937,Full 1Br Apartment In Park Slope,20660065990,FALSE,Peter,Brooklyn,South Slope,40.66481,-73.98367,United States,TRUE,Moderate,Entire home/apt,77,0.97,2,202,40,2,365,2004,Old Property,2351.28,100.00%
1842489,Lovely Garden Apt. In Fort Greene.,93341451687,FALSE,Collin,Brooklyn,Fort Greene,40.68757,-73.97469,United States,FALSE,Moderate,Entire home/apt,115,1.4,5,958,192,1,118,2017,Mid Age,16094.4,32.33%
1843041,Modern Lofted Williamsburg 3Bd,38517363733,FALSE,Ethan And Wray,Brooklyn,Williamsburg,40.70560,-73.94202,United States,TRUE,Moderate,Entire home/apt,294,3.59,1,866,173,1,322,2008,Old Property,37307.28,88.22%
1843594,Brooklyn'S Top,65741059878,FALSE,Maurice,Brooklyn,Crown Heights,40.67722,-73.95005,United States,FALSE,Moderate,Entire home/apt,66,1.75,1,"1,046",209,3,55,2005,Old Property,21966,15.07%
1844146,Quirky Sunny Retreat Central Williamsburg,66125849726,TRUE,Slava,Brooklyn,Williamsburg,40.71407,-73.95336,United States,TRUE,Moderate,Entire home/apt,4,0.09,1,"1,107",221,7,313,2011,Mid Age,1195.56,85.75%
1844698,East Village Artist'S Studio,76336288905,TRUE,Daniel,Manhattan,East Village,40.72912,-73.98355,United States,FALSE,Moderate,Entire home/apt,39,0.47,2,983,197,3,200,2008,Old Property,5544.12,54.79%
1845250,"Legal Park Slope 5 Br, Roof Terraces For 14 People",59696820461,FALSE,Yves,Brooklyn,Park Slope,40.68305,-73.97853,United States,FALSE,Moderate,Entire home/apt,173,2.12,1,"1,032",206,4,105,2010,Old Property,26254.08,28.77%
1845803,Guestroom W/ 2 Beds 20 Mins To Nyc,92762638490,FALSE,Ingrid,Brooklyn,Bushwick,40.68161,-73.90796,United States,TRUE,Strict,Private room,295,3.56,2,495,99,2,365,2010,Old Property,21146.4,100.00%
1846355,Stunning 3Br Loft In Williamsburg!!!!,6374860970,FALSE,Phillip,Brooklyn,Williamsburg,40.71428,-73.96100,United States,TRUE,Strict,Entire home/apt,62,0.75,3,650,130,4,261,2021,New Property,5850,71.51%
1846907,Bushwick Creative Den Of Bliss,6369198914,FALSE,Lindsay,Brooklyn,Bushwick,40.70234,-73.91849,United States,FALSE,Strict,Private room,138,1.69,4,95,19,2,163,2012,Mid Age,1926.6,44.66%
1847460,Uws Charming 1 Bedroom + Loft,11924240457,FALSE,Larysa,Manhattan,Upper West Side,40.77563,-73.98065,United States,TRUE,Strict,Entire home/apt,27,0.34,5,"1,197",239,30,46,2005,Old Property,4883.76,12.60%
1848012,Roomy Updated Studio - East Village,27522948002,FALSE,Pavel,Manhattan,East Village,40.72866,-73.98048,United States,FALSE,Flexible,Entire home/apt,96,1.17,2,606,121,30,7,2014,Mid Age,8508.24,1.92%
1848564,Private Suite In Historic House,29566038971,TRUE,Natalie,Brooklyn,Fort Greene,40.69096,-73.97241,United States,FALSE,Flexible,Entire home/apt,119,1.46,5,"1,164",233,2,365,2010,Old Property,20393.28,100.00%
1849117,Sunny Elegant And Big Room!,67967839100,TRUE,Boris,Brooklyn,Bedford-Stuyvesant,40.69114,-73.94601,United States,FALSE,Strict,Private room,8,0.1,2,86,17,5,265,2018,Mid Age,103.2,72.60%
1849669,The Heart Of The Metropolis,49074926286,FALSE,John,Manhattan,East Village,40.72482,-73.98097,United States,FALSE,Strict,Entire home/apt,100,1.25,3,474,95,30,105,2011,Mid Age,7110,28.77%
1850221,Park Slope One Bedroom With Balcony,24618280121,FALSE,Karin,Brooklyn,Park Slope,40.67406,-73.97697,United States,TRUE,Strict,Entire home/apt,1,0.02,1,"1,163",233,5,351,2013,Mid Age,279.12,96.16%
1850773,"Lovely, Large Studio Near Central Park",16396136691,FALSE,Charlie,Manhattan,Upper West Side,40.77392,-73.97852,United States,FALSE,Moderate,Entire home/apt,89,1.12,1,95,19,3,260,Unknown,Mid Age,1276.8,71.23%
1851326,Cute & Cozy Nyc Room - Hell'S Kitchen (Dog In Apt),4579566900,FALSE,Kevin,Manhattan,Hell'S Kitchen,40.76422,-73.99382,United States,FALSE,Flexible,Private room,176,2.22,5,"1,013",203,2,52,Unknown,Mid Age,26986.32,14.25%
1851878,5Th Ave Apartment In Midtown!,5258307205,FALSE,Kristen,Manhattan,Midtown,40.76221,-73.97787,United States,TRUE,Moderate,Private room,31,0.38,4,955,191,4,109,Unknown,New Property,4354.8,29.86%
1852430,"Large Private Floor In Brooklyn, Ny",55884191073,TRUE,Eric,Brooklyn,Bedford-Stuyvesant,40.69128,-73.93653,United States,TRUE,Moderate,Entire home/apt,239,2.89,1,370,74,4,0,Unknown,Old Property,12831.6,0.00%
1852983,"Comfy Apartment, Adorable Cat!",66424725707,TRUE,Abby,Manhattan,Inwood,40.86737,-73.91877,United States,FALSE,Strict,Entire home/apt,79,0.96,5,515,103,2,255,Unknown,Mid Age,5932.8,69.86%
1853535,Great Private Apt On Mulberry St - Nolita / Soho,37543619189,FALSE,Joseph,Manhattan,Nolita,40.72177,-73.99610,United States,FALSE,Moderate,Private room,13,0.33,5,467,93,10,192,Unknown,New Property,1849.32,52.60%
1854087,Clean Cute Private Room In Chelsea,30941980674,FALSE,Nina,Manhattan,Chelsea,40.74034,-74.00259,United States,FALSE,Flexible,Private room,11,0.16,3,269,54,14,132,Unknown,New Property,516.48,36.16%
1854640,"Sunny Loft: Greenwich Village, Nyc",69801014756,FALSE,Kristin,Manhattan,West Village,40.73105,-74.00285,United States,TRUE,Flexible,Entire home/apt,5,0.06,4,152,30,80,117,Unknown,New Property,109.44,32.05%
1855192,The Serenity Room In Historic Bklyn,61163849412,FALSE,Devin  & Justin,Brooklyn,Cobble Hill,40.68902,-73.99517,United States,FALSE,Moderate,Private room,13,0.37,3,127,25,2,209,2011,Mid Age,563.88,57.26%
1855744,Peaceful Double Room In Brooklyn Brownstone,25327620261,TRUE,Chantille & Linda,Brooklyn,Prospect Heights,40.67793,-73.96577,United States,TRUE,Flexible,Private room,190,2.3,5,"1,165",233,4,272,2012,Mid Age,32154,74.52%
1856296,Nyc 1St Shipping Container Home,30413099146,FALSE,Janet-David,Brooklyn,Williamsburg,40.70995,-73.95536,United States,FALSE,Moderate,Entire home/apt,404,4.9,5,822,164,1,187,2016,Mid Age,48333.6,51.23%
1856849,Charming South Village W/ Private Terrace,36285987820,TRUE,Christos,Manhattan,Soho,40.72756,-74.00239,United States,FALSE,Flexible,Entire home/apt,27,1.4,5,"1,064",213,2,3,2004,Old Property,17875.2,0.82%
1857401,Airy Bed Sty Restoration,58736837277,FALSE,Gabriela,Brooklyn,Bedford-Stuyvesant,40.68906,-73.94103,United States,FALSE,Flexible,Entire home/apt,79,0.97,4,836,167,4,365,2012,Mid Age,9731.04,100.00%
1857953,Cozy Private Room In Fort Greene,13426839406,TRUE,Afaliah,Brooklyn,Fort Greene,40.69670,-73.97622,United States,FALSE,Moderate,Private room,14,0.17,4,"1,101",220,2,178,2006,Old Property,2246.04,48.77%
1858506,W'Burg Hidden Treasure Off Lorimer,12494090162,TRUE,Roberto,Brooklyn,Williamsburg,40.70751,-73.94670,United States,TRUE,Moderate,Private room,32,0.42,1,403,81,3,38,2019,Mid Age,2031.12,10.41%
1859058,Park Slope Brownstone With Garden,89820318684,TRUE,Gisela,Brooklyn,Park Slope,40.67507,-73.98093,United States,TRUE,Moderate,Entire home/apt,76,0.98,1,641,128,3,1,2022,New Property,7538.16,0.27%
1859610,Uws Renovated 2Bedroom 2Bath Near Everything.,94671341928,TRUE,Mathew,Manhattan,Upper West Side,40.79507,-73.97568,United States,TRUE,Flexible,Entire home/apt,7,0.09,3,469,94,1,331,2021,New Property,506.52,90.68%
1860163,Great Apt In The Heart Of E Village,35564691014,TRUE,Ori,Manhattan,East Village,40.72225,-73.98496,United States,TRUE,Flexible,Entire home/apt,11,0.14,5,884,177,7,35,2003,Old Property,1485.12,9.59%
1860715,Home Away From Home,1137626249,FALSE,Marvet,Brooklyn,Prospect-Lefferts Gardens,40.65820,-73.95275,United States,TRUE,Strict,Private room,18,0.22,4,383,77,5,268,2015,Mid Age,1011.12,73.42%
1861267,An Oasis In  The Big Apple 1,97566408739,TRUE,Paul,Queens,Woodside,40.74723,-73.89706,United States,FALSE,Flexible,Entire home/apt,60,1.59,3,"1,044",209,3,167,2009,Old Property,19919.52,45.75%
1861819,Room Available Close To Manhattan-A,50097014753,FALSE,Marianne,Staten Island,Concord,40.60183,-74.08953,United States,FALSE,Flexible,Private room,59,0.72,1,643,129,30,365,2015,Mid Age,5555.52,100.00%
1862372,Classy Brooklyn Studio,55784639440,FALSE,Katherine / François,Brooklyn,Sunset Park,40.66084,-73.99328,United States,TRUE,Strict,Entire home/apt,22,0.47,1,921,184,15,299,2006,Old Property,5194.44,81.92%
1862924,"Historic Williamsburg, Bklyn #2",82863273220,FALSE,Brady,Brooklyn,Williamsburg,40.71796,-73.95439,United States,TRUE,Flexible,Private room,2,0.03,4,474,95,3,131,2010,Old Property,170.64,35.89%
1863476,2Br Penthouse W Private Roofdeck,71177911108,TRUE,Ari,Manhattan,East Village,40.72558,-73.97929,United States,TRUE,Strict,Entire home/apt,104,1.28,2,634,127,7,68,2009,Old Property,9738.24,18.63%
1864029,Brand New 2-Level 2-Bedroom Condo,76265825286,FALSE,Jeff,Manhattan,Harlem,40.80748,-73.94869,United States,TRUE,Strict,Entire home/apt,6,0.09,4,540,108,3,78,2011,Mid Age,583.2,21.37%
1864581,Private Bedroom W/Private Bathroom On Central Park,23830981205,TRUE,Arlette,Manhattan,Upper West Side,40.79854,-73.96089,United States,FALSE,Moderate,Private room,326,3.96,3,110,22,3,253,2011,Mid Age,5227.2,69.32%
1865133,Cozy Bedroom Near Manhattan & Airport,64670719447,TRUE,Eugenia,Queens,Jackson Heights,40.74869,-73.88293,United States,FALSE,Strict,Private room,55,0.67,5,728,146,28,365,2012,Mid Age,5853.12,100.00%
1865686,"Large Room, Outdoor Patio, Great Host, Safe Area!",59054670280,FALSE,Gym Hoodie,Brooklyn,Borough Park,40.63324,-73.99461,United States,FALSE,Strict,Private room,0,0,3,"1,120",224,3,191,2020,New Property,0,52.33%
1866238,"Cozy, Ideal Live-Work Space In The Heart Of Les!",59098076707,FALSE,Alejandra,Manhattan,Lower East Side,40.71819,-73.99136,United States,FALSE,Flexible,Entire home/apt,56,0.79,4,650,130,5,51,2004,Old Property,6162,13.97%
1866790,"Sunny, Large & Lovely In Greenpoint",63207753398,TRUE,Isabelle,Brooklyn,Greenpoint,40.72582,-73.95213,United States,FALSE,Moderate,Entire home/apt,51,0.62,4,264,53,3,339,2012,Mid Age,1964.16,92.88%
1867342,"**Your Chelsea Loft, Welcome Home",16029482021,FALSE,Amy,Manhattan,Chelsea,40.74225,-73.99492,United States,TRUE,Flexible,Entire home/apt,7,0.09,3,344,69,5,16,2018,Mid Age,371.52,4.38%
1867895,Charming East Village Apartment,78070401250,FALSE,Barry,Manhattan,East Village,40.73016,-73.98643,United States,TRUE,Flexible,Entire home/apt,86,1.15,2,357,71,5,200,2004,Old Property,4926.6,54.79%
1868447,Room Available-Close To Manhattan-B,39809450034,TRUE,Marianne,Staten Island,Concord,40.60213,-74.08930,United States,FALSE,Strict,Private room,36,0.44,2,827,165,30,293,2010,Old Property,4366.56,80.27%
1868999,Private Two Bedroom With Garden In Cobble Hill,8765078014,FALSE,Paul And Debra,Brooklyn,Carroll Gardens,40.68344,-73.99330,United States,FALSE,Strict,Private room,75,0.92,5,976,195,2,365,2010,Old Property,10775.04,100.00%
1869552,Chic Victorian Private Apartment In Townhouse,23038394046,TRUE,Alison,Brooklyn,Clinton Hill,40.68341,-73.96060,United States,FALSE,Strict,Entire home/apt,363,4.55,5,445,89,1,315,2019,Mid Age,24297,86.30%
1870104,Amazing Location! 10Ft From L Train,75849037654,FALSE,Giorgia & Benjamin,Brooklyn,Williamsburg,40.71534,-73.94906,United States,FALSE,Moderate,Private room,146,1.78,1,328,66,2,0,2012,Mid Age,7006.08,0.00%
1870656,An Oasis In The Big Apple 2,73057006949,TRUE,Paul,Queens,Woodside,40.74746,-73.89712,United States,FALSE,Moderate,Entire home/apt,51,1.52,5,"1,041",208,3,135,2011,Mid Age,18987.84,36.99%
1871209,An Oasis In The Big Apple 3,43677460245,TRUE,Paul,Queens,Woodside,40.74687,-73.89892,United States,FALSE,Moderate,Entire home/apt,55,0.67,3,707,141,3,49,2006,Old Property,5684.28,13.42%
1871761,Room In Clinton Hill Brooklyn Loft,31049755526,FALSE,Enid,Brooklyn,Bedford-Stuyvesant,40.68712,-73.95876,United States,FALSE,Flexible,Private room,1,0.01,2,345,69,5,104,2018,Mid Age,41.4,28.49%
1872313,West Village 2 Bedroom Apt,76183711697,FALSE,Radan,Manhattan,West Village,40.73795,-74.00593,United States,FALSE,Moderate,Entire home/apt,29,0.38,3,919,184,3,49,2012,Mid Age,4190.64,13.42%
1872865,Williamsburg 1 Private Room In Loft,64472427911,FALSE,Florencia,Brooklyn,Williamsburg,40.71055,-73.94915,United States,TRUE,Moderate,Private room,30,0.76,4,"1,110",222,14,151,2011,Mid Age,10123.2,41.37%
1873418,2 Beds/Queen & Full Beautiful Room 40 Minst.Square,62351131714,FALSE,Enrique,Bronx,Allerton,40.85956,-73.87067,United States,FALSE,Strict,Private room,169,2.07,1,"1,161",232,2,359,2003,Old Property,28839.24,98.36%
1873970,Feel The Brooklyn Love!,64216971600,TRUE,Melissa,Brooklyn,Fort Greene,40.68811,-73.97236,United States,TRUE,Flexible,Entire home/apt,1,0.02,5,190,38,4,177,2018,Mid Age,45.6,48.49%
1874522,"2 Private Brs, Private Bath - Like Your Own Apt",97829242693,FALSE,M,Brooklyn,Williamsburg,40.70985,-73.94520,United States,FALSE,Moderate,Private room,8,0.11,5,501,100,2,333,2017,Mid Age,661.32,91.23%
1875075,Bright 1 Br In Brooklyn,61881063152,FALSE,Silvia,Brooklyn,Crown Heights,40.67473,-73.96263,United States,FALSE,Strict,Entire home/apt,12,0.18,4,239,48,3,362,2009,Old Property,516.24,99.18%
1875627,Charming Harlem Getaway-Women Only,68029960662,TRUE,Crystal,Manhattan,Harlem,40.82655,-73.93943,United States,TRUE,Moderate,Private room,19,0.3,1,833,167,3,127,2021,New Property,2998.8,34.79%
1876179,Nice Studio Apartment In Brooklyn!,95346960918,FALSE,Adam,Brooklyn,Crown Heights,40.67471,-73.95324,United States,TRUE,Flexible,Entire home/apt,9,0.11,5,829,166,5,365,2004,Old Property,1094.28,100.00%
1876732,Large Pleasant Room Nr Central Park,10902226262,FALSE,Jo,Manhattan,Upper West Side,40.80155,-73.96569,United States,FALSE,Moderate,Private room,5,0.06,3,669,134,1,365,2017,Mid Age,481.68,100.00%
1877284,Heart Of Harlem 1 Br Garden Apt,43162301665,TRUE,John,Manhattan,Harlem,40.80745,-73.94353,United States,FALSE,Moderate,Entire home/apt,17,0.26,1,"1,135",227,5,234,2003,Old Property,3541.2,64.11%
1877836,Colorful New York East Village Apt,78080784577,FALSE,Dk,Manhattan,East Village,40.72576,-73.98582,United States,FALSE,Flexible,Entire home/apt,70,0.86,3,177,35,4,134,2010,Old Property,1826.64,36.71%
1878388,Medium-Sized Furnished Room,5193200850,FALSE,Samir,Brooklyn,Crown Heights,40.67641,-73.95729,United States,TRUE,Strict,Private room,0,0,5,179,36,7,170,2010,Old Property,0,46.58%
1878941,"Nyc Spacious 3B, New, River View",43306570940,FALSE,Dustin,Manhattan,Harlem,40.82398,-73.95400,United States,TRUE,Moderate,Entire home/apt,1,0.02,4,793,159,1,365,2007,Old Property,190.32,100.00%
1879493,Large Private Room In Clinton Hill Brooklyn Loft,79703057088,FALSE,Enid,Brooklyn,Bedford-Stuyvesant,40.68724,-73.95837,United States,FALSE,Strict,Private room,1,0.16,2,891,178,5,188,2017,Mid Age,1710.72,51.51%
1880045,Space! Light! Charm! 1Br Close To Subways & Park,5336294653,TRUE,Ellen,Manhattan,Upper West Side,40.79241,-73.97111,United States,FALSE,Strict,Entire home/apt,0,0.43,5,564,113,3,194,2021,New Property,2910.24,53.15%
1880598,Manhattan Charmer Wow - All Yours!!,9108836498,FALSE,Neill,Manhattan,Upper East Side,40.77042,-73.96145,United States,TRUE,Flexible,Entire home/apt,59,0.73,3,"1,123",225,2,85,2016,Mid Age,9837.48,23.29%
1881150,Modern And Cozy Home - Les,96598427641,FALSE,Andrea,Manhattan,Lower East Side,40.71625,-73.98430,United States,TRUE,Flexible,Entire home/apt,62,0.75,4,656,131,5,179,2004,Old Property,5904,49.04%
1881702,Large Room 2Blks From Central Park,53446489128,TRUE,Bethania,Manhattan,Harlem,40.80351,-73.95648,United States,TRUE,Moderate,Private room,6,0.07,1,427,85,10,365,2011,Mid Age,358.68,100.00%
1882255,Very Large Loft In Chelsea For  Your Stay!!,52751238163,TRUE,Alexander,Manhattan,Flatiron District,40.74056,-73.99262,United States,TRUE,Flexible,Entire home/apt,33,0.84,1,414,83,2,336,2007,Old Property,4173.12,92.05%
1882807,3 Br Apartment In Heart Of Brooklyn,91085008150,TRUE,Ari,Brooklyn,Crown Heights,40.66983,-73.94322,United States,TRUE,Strict,Entire home/apt,158,1.93,5,381,76,2,41,2007,Old Property,8823.96,11.23%
1883359,Grand Brooklyn Apartment,92636144354,TRUE,Natalia,Brooklyn,Crown Heights,40.67942,-73.96248,United States,TRUE,Flexible,Entire home/apt,8,0.12,1,650,130,4,365,2006,Old Property,936,100.00%
1883911,"❤️ Of Williamsburg, Private Entrance",3538313500,FALSE,Elli,Brooklyn,Williamsburg,40.71927,-73.95591,United States,FALSE,Strict,Private room,129,1.67,2,58,12,2,241,2011,Mid Age,1162.32,66.03%
1884464,House 10 Min From Midtown Manhattan,84079191108,FALSE,Remo,Queens,Astoria,40.76216,-73.92542,United States,FALSE,Strict,Entire home/apt,1,0.02,5,67,13,6,279,2020,New Property,16.08,76.44%
1885016,Duplex Loft Suite W/ Patio @ Box House Hotel,80156816885,FALSE,The Box House Hotel,Brooklyn,Greenpoint,40.73867,-73.95448,United States,FALSE,Strict,Entire home/apt,50,0.67,4,131,26,3,243,2005,Old Property,1053.24,66.58%
1885568,Duplex W/ Patio @ Box House Hotel,64622296793,TRUE,The Box House Hotel,Brooklyn,Greenpoint,40.73844,-73.95456,United States,FALSE,Flexible,Entire home/apt,116,1.56,4,593,119,3,156,2013,Mid Age,11100.96,42.74%
1886121,Pristine Room And Art Experience,11167518598,FALSE,Glasshouse,Brooklyn,Williamsburg,40.70866,-73.95166,United States,FALSE,Moderate,Private room,89,1.09,3,138,28,6,246,2018,Mid Age,1805.04,67.40%
1886673,Garden Pl Historical Artist Studio,20980477325,TRUE,Tari,Brooklyn,Brooklyn Heights,40.69127,-73.99552,United States,FALSE,Flexible,Entire home/apt,17,0.21,1,526,105,1,274,2011,Mid Age,1325.52,75.07%
1887225,Huge Room In South Williamsburg,59666147610,TRUE,Aj And Freddy,Brooklyn,Williamsburg,40.70061,-73.95520,United States,FALSE,Flexible,Private room,164,2.07,3,"1,050",210,2,142,2018,Mid Age,26082,38.90%
1887778,Feel At Home Away From Home,38270206738,TRUE,Clement & Natalia,Manhattan,Harlem,40.81073,-73.94370,United States,FALSE,Moderate,Private room,67,0.87,1,"1,064",213,7,327,2003,Old Property,11108.16,89.59%
1888330,West Harlem  Private Bedroom,26544753774,TRUE,Lex And Derek,Manhattan,Harlem,40.80517,-73.95404,United States,FALSE,Moderate,Private room,135,1.67,3,"1,001",200,1,365,2008,Old Property,20060.04,100.00%
1888882,Amazing Columbus Circle Location :),41850482781,TRUE,Mike,Manhattan,Hell'S Kitchen,40.76761,-73.98619,United States,TRUE,Strict,Entire home/apt,3,0.12,5,"1,126",225,30,235,2022,New Property,1621.44,64.38%
1889434,"Clean & Quiet Br In Sunset Park, Bk",23216488991,FALSE,"Porfirio ""Firo"" & Maria",Brooklyn,Borough Park,40.64431,-74.00016,United States,FALSE,Moderate,Private room,139,1.7,3,925,185,1,264,2006,Old Property,18870,72.33%
1889987,Gorgeous Apt Heart Of West Villlage,5948344259,TRUE,Melinda,Manhattan,West Village,40.73616,-74.00400,United States,TRUE,Moderate,Entire home/apt,23,0.32,2,308,62,2,188,2007,Old Property,1182.72,51.51%
1890539,Private Bedroom In Sunny Brooklyn Apartment,66562328280,FALSE,Jonathan,Brooklyn,Sunset Park,40.65989,-73.99536,United States,TRUE,Flexible,Private room,51,0.64,5,797,159,3,306,2022,New Property,6120.96,83.84%
1891091,**Your Home Away From Home** : Ues/66Th Lg 1 Bdrm,83290172830,FALSE,R And R,Manhattan,Upper East Side,40.76352,-73.96394,United States,TRUE,Strict,Entire home/apt,203,2.53,4,"1,106",221,3,365,2003,Old Property,33578.16,100.00%
1891644,Private Room Williamsburg(Ariel) 4P,1750744718,TRUE,Alessandra,Brooklyn,Williamsburg,40.71141,-73.95427,United States,TRUE,Flexible,Private room,164,2.07,5,713,143,2,255,2009,Old Property,17710.92,69.86%
1892196,"Sunny & Clean Apt, Ideal Location",10678847816,FALSE,Christa,Manhattan,Chelsea,40.74092,-74.00037,United States,TRUE,Flexible,Entire home/apt,6,0.07,1,911,182,1,18,2008,Old Property,765.24,4.93%
1892748,1 Pvt. Room In Upper West Manhattan,37368428601,FALSE,Cleveland,Manhattan,Harlem,40.81908,-73.94776,United States,TRUE,Strict,Private room,327,4.01,3,664,133,1,284,2020,New Property,31951.68,77.81%
1893301,Centrally Located And Spacious Apt.,96020556462,FALSE,Reshma,Manhattan,Midtown,40.75154,-73.97104,United States,FALSE,Moderate,Entire home/apt,10,10,1,266,53,7,230,2018,Mid Age,31920,63.01%
1893853,"Quiet Spacious 1Br, Great Location!",49163065770,TRUE,Shahar,Manhattan,Upper West Side,40.78361,-73.97645,United States,FALSE,Strict,Entire home/apt,82,1.07,2,136,27,181,365,2012,Mid Age,1746.24,100.00%
1894405,Chic Apt In Trendy East Village,91500179031,TRUE,Megan,Manhattan,East Village,40.72849,-73.98041,United States,FALSE,Flexible,Entire home/apt,111,4.44,1,501,100,2,18,2003,Old Property,26693.28,4.93%
1894957,"Homey, Clean Studio- East Village",24885514302,FALSE,Hallie,Manhattan,East Village,40.72369,-73.98940,United States,TRUE,Flexible,Entire home/apt,6,0.08,4,945,189,7,168,2012,Mid Age,907.2,46.03%
1895510,Private Room In Lovely Greenpoint,91933328055,FALSE,Dawn,Brooklyn,Greenpoint,40.72661,-73.94586,United States,FALSE,Strict,Private room,35,0.44,3,"1,157",231,5,285,2014,Mid Age,6108.96,78.08%
1896062,"Bright Friendly Apt, East Village!",25570134736,TRUE,Stephanie,Manhattan,East Village,40.72320,-73.97927,United States,FALSE,Flexible,Private room,57,0.7,1,144,29,26,162,2011,Mid Age,1209.6,44.38%
1896614,Williamsburg Loft!! Bedford L 1Blk!,95908774268,TRUE,Eric,Brooklyn,Williamsburg,40.71714,-73.95447,United States,FALSE,Moderate,Shared room,80,0.98,5,907,181,2,20,2012,Mid Age,10666.32,5.48%
1897167,"Wedding Guests Accommodations, 3-7 Bedrooms",59937567223,FALSE,Marina,Staten Island,Arrochar,40.59193,-74.06476,United States,TRUE,Flexible,Entire home/apt,1,0.02,5,"1,137",227,4,343,2021,New Property,272.88,93.97%
1897719,Luxury Furnished 1 Br Apartment Near Central Park,9806092213,TRUE,Izi,Manhattan,Upper West Side,40.78674,-73.97243,United States,FALSE,Moderate,Entire home/apt,4,0.06,1,337,67,30,6,2014,Mid Age,242.64,1.64%
